sym,date,period_start_price,period_end_price,20_period_return,ema_3,sma_3,wma_3
AAPL,2022-12-07,140.94,129.62,-0.08031786575847874,142.96129495136378,143.49333333333334,142.545
AAPL,2022-12-06,142.91,125.02,-0.12518368203764607,144.98258990272757,145.78333333333333,144.96666666666667
AAPL,2022-12-05,146.63,126.36,-0.13823910523085314,147.0551798054551,147.58333333333334,147.3033333333333
AAPL,2022-12-02,147.81,125.07,-0.1538461538461539,147.48035961091023,148.04999999999998,148.01333333333332
AAPL,2022-11-30,148.03,129.93,-0.12227251232858201,145.9914384436409,144.47333333333333,145.10833333333332
AAPL,2022-11-29,141.17,129.61,-0.08188708649146402,143.95287688728183,144.5,143.34333333333333
AAPL,2022-11-28,144.22,126.04,-0.12605741228678402,146.73575377456365,147.8,146.65833333333333
AAPL,2022-11-25,148.11,130.03,-0.12207143339409905,149.2515075491273,149.78666666666666,149.4416666666667
AAPL,2022-11-23,151.07,131.86,-0.12715959488978607,150.39301509825458,149.75333333333333,150.26333333333332
AAPL,2022-11-22,150.18,132.23,-0.11952323878013062,149.71603019650914,149.82666666666668,149.64166666666665
AAPL,2022-11-21,148.01,135.45,-0.08485913113978787,149.25206039301827,150.00666666666666,149.55499999999998
AAPL,2022-11-16,148.79,134.51,-0.095974191813966,148.6764831441463,149.03666666666666,149.12166666666667
AAPL,2022-11-15,150.04,136.5,-0.0902426019728072,148.56296628829256,149.34,149.39666666666668
AAPL,2022-11-14,148.28,143.21,-0.034192069058537854,147.0859325765851,148.28333333333333,148.51833333333335
AAPL,2022-11-09,134.87,142.16,0.05405205012233997,137.29746061268065,137.76333333333332,137.08833333333334
AAPL,2022-11-08,139.5,142.65,0.022580645161290363,139.72492122536133,138.9333333333333,139.12
AAPL,2022-11-07,138.92,140.94,0.014540742873596389,139.94984245072266,138.72666666666666,138.73333333333332
AAPL,2022-11-02,145.03,147.81,0.019168447907329526,148.27873960578142,149.67333333333332,148.28833333333333
AAPL,2022-11-01,150.65,148.31,-0.015532691669432481,151.52747921156282,153.24333333333334,152.395
AAPL,2022-10-31,153.34,148.03,-0.03462892917699232,152.40495842312566,151.29333333333335,152.71666666666667
AAPL,2022-10-26,149.35,148.11,-0.008302644794107672,149.5996673850051,150.38,150.36333333333332
AAPL,2022-10-25,152.34,148.11,-0.027766837337534395,149.8493347700102,149.68666666666664,150.53166666666667
AAPL,2022-10-24,149.45,151.07,0.010839745734359349,147.35866954002037,146.70333333333335,147.71333333333334
AAPL,2022-10-19,143.86,151.29,0.051647435006255925,143.13935632016296,143.34,143.58166666666668
AAPL,2022-10-18,143.75,150.72,0.04848695652173912,142.41871264032588,141.51333333333332,142.40833333333333
AAPL,2022-10-17,142.41,148.79,0.044800224703321366,141.08742528065176,141.26,141.16333333333333
AAPL,2022-10-11,138.98,146.87,0.05677075838250119,140.27880449042777,139.83,139.64499999999998
AAPL,2022-10-10,140.42,134.87,-0.03952428428998706,141.57760898085553,141.98,141.145
AAPL,2022-10-05,146.4,138.38,-0.05478142076502739,145.33087184684433,144.98333333333332,145.64166666666668
AAPL,2022-10-04,146.1,138.88,-0.049418206707734426,144.26174369368863,142.24999999999997,143.56666666666663
AAPL,2022-10-03,142.45,145.03,0.0181116181116182,142.42348738737726,141.04333333333332,141.03833333333333
AAPL,2022-09-28,149.84,155.74,0.03937533368926859,150.70789909901816,150.79,150.635
AAPL,2022-09-27,151.76,144.8,-0.04586188719030034,151.57579819803632,150.98666666666665,151.20833333333334
AAPL,2022-09-26,150.77,149.35,-0.00941831929428942,151.39159639607266,151.31333333333336,150.985
AAPL,2022-09-21,153.72,147.27,-0.041959406713505,154.45277116858125,155.03333333333333,154.90666666666667
AAPL,2022-09-20,156.9,143.39,-0.08610579987253039,155.18554233716247,154.02666666666667,155.06
AAPL,2022-09-19,154.48,143.86,-0.0687467633350594,153.4710846743249,152.51666666666665,152.8683333333333
AAPL,2022-09-14,155.31,138.38,-0.1090077908698732,156.07867739459937,157.52666666666667,156.17333333333332
AAPL,2022-09-13,153.84,142.99,-0.07052782111284447,156.84735478919873,158.21333333333334,157.625
AAPL,2022-09-12,163.43,138.34,-0.15352138530257603,159.85470957839743,158.42,159.915
AAPL,2022-09-07,155.96,140.09,-0.10175686073352144,155.9176766271794,155.43333333333334,155.45833333333334
AAPL,2022-09-06,154.53,145.43,-0.05888824176535297,155.87535325435874,156.10000000000002,155.52833333333334
AAPL,2022-08-31,157.22,138.2,-0.12097697493957518,159.30282603487,159.17,158.47666666666666
AAPL,2022-08-30,158.91,142.48,-0.1033918570259896,161.38565206974005,161.3033333333333,160.51833333333335
AAPL,2022-08-29,161.38,149.84,-0.07150824141777168,163.86130413948007,165.01,163.56833333333333
AAPL,2022-08-24,167.53,150.43,-0.10207127081716703,168.1004331158405,167.44333333333333,167.43666666666667
AAPL,2022-08-23,167.23,152.74,-0.0866471326915026,168.670866231681,168.7733333333333,168.0583333333333
AAPL,2022-08-22,167.57,153.72,-0.08265202601897711,170.11173246336202,171.08,169.98333333333335
AAPL,2022-08-17,174.55,150.7,-0.13663706674305368,173.4238597068962,173.59,173.8166666666667
AAPL,2022-08-16,173.03,152.37,-0.11940125989712765,172.29771941379238,172.77333333333334,172.92833333333337
AAPL,2022-08-15,173.19,155.31,-0.103239217044864,171.56543882758479,171.26,172.04333333333332
AAPL,2022-08-10,169.24,157.37,-0.07013708343181284,167.0735106206782,166.34333333333333,167.0716666666667
AAPL,2022-08-09,164.92,154.46,-0.06342469075915584,164.9070212413564,165.04666666666665,164.975
AAPL,2022-08-08,164.87,155.96,-0.054042579001637635,164.89404248271282,165.34333333333333,165.18666666666667
AAPL,2022-08-03,166.13,155.81,-0.06212002648528257,163.1623398617025,162.54999999999998,163.32
AAPL,2022-08-02,160.01,157.96,-0.012811699268795594,160.194679723405,161.34333333333333,160.92666666666665
AAPL,2022-08-01,161.51,157.22,-0.026561822797349963,160.37935944681,160.45666666666668,161.15
AAPL,2022-07-27,156.79,163.62,0.043561451623190334,154.62487557448014,153.78,154.42
AAPL,2022-07-26,151.6,170.03,0.12156992084432723,152.45975114896032,152.88,152.465
AAPL,2022-07-25,152.95,167.53,0.09532526969597917,153.31950229792065,154.13,153.73
AAPL,2022-07-20,153.04,171.52,0.12075274438055422,151.22601838336516,150.36999999999998,151.365
AAPL,2022-07-19,151.0,174.15,0.15331125827814573,149.4120367667303,149.41333333333333,149.55166666666665
AAPL,2022-07-18,147.07,174.55,0.18684979941524457,147.82407353346056,148.57000000000002,148.33666666666667
AAPL,2022-07-13,145.49,172.1,0.18289916832772002,145.50258826768464,145.40666666666667,145.51000000000002
